uuid,firstName,lastName,phone,email(s)
c3f5a7d9-4b0e-4f36-90a2-cc4f2f7c8d92,Emery,Hickling,312-555-6721,ehickling0@outlook.com
7ad93e1b-564e-4b32-a70d-2df34745fdac,Kendra,Swinton,453-210-9823,kswinton1@icloud.com,kswinton1@bing.com
12fc9a8d-9c23-4d8f-963e-6205a12a90f1,Finnian,Corbould,781-602-5549,fcorbould2@google.com,fcorbould2@zillow.com,fcorbould2@msn.com
98d7f5b4-4935-4261-84e4-1a1a8d13a3e1,Nicolette,Dunsford,667-849-3120,ndunsford3@pinterest.com
b5e91f3a-f3a9-4a35-baf3-5f463f5e7f60,Reagan,Mallinson,234-765-0091,rmallinson4@tumblr.com,rmallinson4@epa.gov,
6c137b45-839d-43e7-b621-0de6d0376a77,Ryan,Ormsby,419-208-7854,rormsby5@linkedin.com,rormsby5@mozilla.org,rormsby5@ask.com
4e712e2c-b357-4b06-a354-4a1fa9f3243f,Seraphina,Blundell,530-841-2098,sblundell6@photobucket.com,sblundell6@myspace.com
9e6c9f57-3d6e-4a14-b7e8-3a5cf4d3f2eb,Callum,Petherbridge,289-653-9712,cpetherbridge7@hp.com
a41b4b8b-2d7f-4e5b-a4eb-8b50a8d3f5e0,Luciana,Ramsden,845-220-6183,lramsden8@forbes.com,lramsden8@overstock.com,lramsden8@dailymotion.com
31d4b68e-4856-4d4b-b0bb-5b87077fb8a4,Jericho,Tredgold,968-752-1145,jtredgold9@bbc.co.uk,jtredgold9@wired.com,jtredgold9@fema.gov
4bf99d6a-d9eb-4c3c-a839-8c1b1d81a7f2,Verity,Broughton,504-884-2332,vbroughton0@yahoo.com,,
e9b2d9c3-1b7e-4c95-8a0a-2f37a3c1b8f1,Leander,Mosley,612-394-2876,lmosley1@etsy.com,lmosley1@cisco.com,
f3d8b45c-16ea-4db1-b9e3-5898f4c6d57f,Sienna,Colmore,473-293-1108,scolmore2@weebly.com,scolmore2@foursquare.com,
dc5f3e2b-1849-4b8c-b302-1845e92f7b90,Keegan,Fairbrother,509-682-7430,kfairbrother3@last.fm,kfairbrother3@gnu.org,
57b1f4b8-0c4c-4429-a3f7-0d9c1b3f7e5f,Rosamund,Ingleby,320-111-5642,ringleby4@reuters.com,ringleby4@example.com,ringleby4@epa.gov
2c6a3b4e-8b7d-4874-9d5f-58c4f3f9c2d7,Thatcher,Worthing,843-502-2985,tworthing5@ft.com,tworthing5@stanford.edu,
fbd4c7e8-1d8a-4c2a-b3e9-3b4c8f7d1e2b,Alaric,Steadman,978-349-5628,asteadman6@mit.edu,asteadman6@wired.com
